sensor,mean_delta_lr_acc,mean_delta_silhouette,num_dx
android.sensor.game_rotation_vector,0.1517,0.0070,3
android.sensor.rotation_vector,0.1005,0.0133,3
android.sensor.orientation,0.0603,0.0141,3
android.sensor.gravity,0.0337,-0.0123,3
android.sensor.magnetic_field_uncalibrated,0.0279,-0.0585,3
android.sensor.gyroscope,0.0141,0.0641,3
android.sensor.linear_acceleration,0.0055,-0.0756,3
android.sensor.light,0.0000,0.0000,3
android.sensor.magnetic_field,-0.0018,-0.0328,3
android.sensor.gyroscope_uncalibrated,-0.0229,0.0365,3
android.sensor.accelerometer,-0.0265,-0.1076,3
